var,Df,Sum Sq,Mean Sq,F value,Pr(>F)    ,
X502,1,3.5,3.5,142.586,< 2e-16,***
X503,1,0,0.05,1.886,0.169642,
X504,1,0,0,0.101,0.750608,
X505,1,0.9,0.9,36.528,1.52E-09,***
X506,1,2.6,2.62,106.644,< 2e-16,***
X507,1,0.1,0.14,5.739,0.0166,*  
X508,1,0,0.02,0.688,0.406871,
X509,1,0,0,0.177,0.673864,
X601,1,43.7,43.69,1780.723,< 2e-16,***
X602,1,1.6,1.64,66.963,2.88E-16,***
X603,1,0,0,0.033,0.855978,
X604,1,0.1,0.14,5.767,0.016332,*  
X605,1,0,0.03,1.137,0.286195,
X606,1,0.8,0.81,33.011,9.25E-09,***
X607,1,5.6,5.61,228.774,< 2e-16,***
X608,1,12,12.04,490.836,< 2e-16,***
X609,1,0,0.04,1.59,0.207316,
X610,1,0.7,0.66,26.899,2.16E-07,***
X611,1,0.1,0.07,2.909,0.088107,.  
X612,1,0.1,0.1,3.925,0.047593,*  
X613,1,3.1,3.12,127.044,< 2e-16,***
X615,1,0.2,0.16,6.522,0.01066,*  
X616,1,4.2,4.16,169.364,< 2e-16,***
X617,1,0.2,0.17,6.815,0.009045,** 
X618,1,0,0.04,1.53,0.216166,
X619,1,0,0,0.18,0.671537,
X701,1,0,0,0.142,0.706536,
X702,1,0.1,0.15,6.024,0.014117,*  
X703,1,0.6,0.59,23.86,1.04E-06,***
X704,1,0,0,0.125,0.724187,
X705,1,0.3,0.28,11.41,0.000731,***
