iter,target,colsample_bytree,max_depth,min_child_samples,min_child_weight,reg_alpha,reg_lambda,subsample
40,0.9436,0.8584,14.8,28.42,3.024,0.1635,0.1107,0.6339
41,0.9443,0.7446,14.74,29.3,3.006,0.5111,0.8096,0.7555
42,0.9443,0.9404,14.57,29.92,3.199,0.725,0.8702,0.5332
43,0.9433,0.7342,14.73,29.92,3.019,0.8139,0.7398,0.9359
44,0.9419,0.4257,14.98,29.88,3.169,0.5451,0.9204,0.7303
45,0.9436,0.9452,14.5,29.9,3.058,0.949,0.9274,0.8124
46,0.9431,0.9333,14.8,28.27,3.001,0.7269,0.8186,0.6874
47,0.9428,0.9891,14.39,10.18,3.062,0.8876,0.9575,0.5413
48,0.943,0.5085,14.7,29.07,3.002,0.9976,0.2107,0.9237
49,0.944,0.663,14.91,29.21,3.003,0.2504,0.6333,0.9571
50,0.9445,0.9999,14.95,26.38,3.094,0.1943,0.9862,0.8521
51,0.9425,0.9376,14.88,29.0,3.043,0.1284,0.1135,0.9917
52,0.9432,0.8385,14.83,11.53,3.023,0.5483,0.9734,0.9382
53,0.9443,0.4253,14.62,29.28,3.01,0.3097,0.9276,0.9628
54,0.9433,0.7357,14.91,29.89,3.014,0.1973,0.3202,0.6084
55,0.9427,0.8488,14.66,29.25,3.168,0.105,0.9649,0.5049
56,0.9432,0.8865,14.91,28.04,3.012,0.457,0.9612,0.5427
57,0.9439,0.6865,14.63,11.56,3.042,0.3633,0.8918,0.5012
58,0.9451,0.922,14.92,29.45,3.028,0.1155,0.5806,0.9846
59,0.9429,0.7753,14.74,28.54,3.087,0.2451,0.9775,0.5517
60,0.9429,0.7021,14.93,10.18,3.045,0.906,0.9733,0.9537
61,0.9421,0.6488,14.48,28.87,3.074,0.1413,0.951,0.9582
62,0.9442,0.9363,14.97,28.66,3.004,0.5327,0.7754,0.5339
63,0.9429,0.4954,14.87,29.62,3.005,0.9298,0.7628,0.5573
64,0.9424,0.9968,14.97,28.89,3.234,0.1628,0.2252,0.7621
65,0.9443,0.9816,14.96,29.84,3.238,0.1542,0.1291,0.5499
66,0.9447,0.5943,14.64,29.66,3.043,0.272,0.1201,0.6349
67,0.9419,0.9888,14.76,29.94,3.023,0.7451,0.1597,0.9512
68,0.9418,0.7947,14.94,11.32,3.051,0.1985,0.1447,0.7546
69,0.943,0.7734,14.66,29.24,3.027,0.2363,0.6914,0.6232
70,0.9438,0.6941,14.66,30.0,3.141,0.8673,0.8808,0.6367
71,0.9435,0.9183,14.73,29.85,3.028,0.719,0.14,0.5573
72,0.9434,0.4892,14.44,29.71,3.011,0.4528,0.8346,0.6996
73,0.9437,0.7495,14.75,29.75,3.155,0.8299,0.9771,0.663
74,0.943,0.5053,14.75,29.64,3.005,0.9796,0.2693,0.6152
75,0.9442,0.5327,15.0,28.81,3.122,0.1389,0.8768,0.514
